reference,domaincontroller,memberserver,reghive,key,keyname,keytype,keyvalue
cis_cce_35487_8,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,NoConnectedUser,REG_DWORD,0
cis_cce_37615_2,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,LimitBlankPasswordUse,REG_DWORD,0
cis_cce_37850_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,scenoapplylegacyauditpolicy,REG_DWORD,1
cis_cce_35907_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,crashonauditfail,REG_DWORD,0
cis_cce_37701_0,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateDASD,REG_SZ,0
cis_cce_37942_0,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers,AddPrinterDrivers,REG_DWORD,1
cis_cce_37848_9,true,false,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,SubmitControl,REG_DWORD,0
cis_cce_35904_2,true,false,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\NTDS\Parameters,ldapserverintegrity,REG_DWORD,1
cis_cce_36921_5,true,false,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,RefusePasswordChange,REG_DWORD,0
cis_cce_36142_8,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,RequireSignorSeal,REG_DWORD,1
cis_cce_37130_2,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,SealSecureChannel,REG_DWORD,1
cis_cce_37222_7,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,SignSecureChannel,REG_DWORD,1
cis_cce_37508_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,DisablePasswordChange,REG_DWORD,0
cis_cce_37431_4,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,MaximumPasswordAge,REG_DWORD,30
cis_cce_37614_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\Netlogon\Parameters,RequireStrongKey,REG_DWORD,1
cis_cce_36056_0,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,DontDisplayLastUserName,REG_DWORD,1
cis_cce_38235_8,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,InactivityTimeoutSecs,REG_DWORD,900
cis_cce_37226_8,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,LegalNoticeText,REG_SZ,present
cis_cce_37512_1,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,LegalNoticeCaption,REG_SZ,present
cis_cce_37439_7,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,CachedLogonsCount,REG_SZ,4
cis_cce_37622_8,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,PasswordExpiryWarning,REG_DWORD,14
cis_cce_38333_1,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,scremoveoption,REG_SZ,0
cis_cce_36325_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanmanWorkstation\Parameters,RequireSecuritySignature,REG_DWORD,0
cis_cce_36269_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Services\LanmanWorkstation\Parameters,EnableSecuritySignature,REG_DWORD,1
