reference,domaincontroller,memberserver,reghive,key,keyname,keytype,keyvalue
cis_cce_25589_3,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,LimitBlankPasswordUse,REG_DWORD,0
cis_cce_24075_4,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,auditbaseobjects,REG_DWORD,0
cis_cce_24923_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,fullprivilegeauditing,REG_BINARY,00
cis_cce_24252_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,scenoapplylegacyauditpolicy,REG_DWORD,1
cis_cce_23988_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,crashonauditfail,REG_DWORD,0
cis_cce_24640_5,true,true,HKEY_LOCAL_MACHINE,Software\policies\Microsoft\Windows NT\DCOM,MachineAccessRestriction,REG_BINARY,absent
cis_cce_25572_9,true,true,HKEY_LOCAL_MACHINE,Software\policies\Microsoft\Windows NT\DCOM,MachineLaunchRestriction,REG_BINARY,absent
cis_cce_25248_6,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,undockwithoutlogon,REG_DWORD,1
cis_cce_24607_4,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateCDRoms,REG_SZ,0
cis_cce_23668_7,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateFloppies,REG_SZ,0
cis_cce_25217_1,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateDASD,REG_SZ,0
cis_cce_25176_9,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Print\Providers\LanMan Print Services\Servers,AddPrinterDrivers,REG_DWORD,1
cis_cce_25305_4,true,false,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Control\Lsa,SubmitControl,REG_DWORD,0
cis_cce_24692_6,true,false,KEY_LOCAL_MACHINE,System\CurrentControlSet\Netlogon\Parameters,RefusePasswordChange,REG_DWORD,0
cis_cce_24465_7,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Netlogon\Parameters,RequireSignorSeal,REG_DWORD,1
cis_cce_24414_5,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Netlogon\Parameters,SealSecureChannel,REG_DWORD,1
cis_cce_24812_0,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Netlogon\Parameters,SignSecureChannel,REG_DWORD,1
cis_cce_24243_8,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Netlogon\Parameters,DisablePasswordChange,REG_DWORD,0
cis_cce_23596_0,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Netlogon\Parameters,MaximumPasswordAge,REG_DWORD,30
cis_cce_25198_3,true,true,HKEY_LOCAL_MACHINE,System\CurrentControlSet\Netlogon\Parameters,RequireStrongKey,REG_DWORD,1
cis_cce_25018_3,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,DontDisplayLockedUserId,REG_DWORD,3
cis_cce_25355_9,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,LegalNoticeText,REG_SZ,present
cis_cce_24020_0,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,LegalNoticeCaption,REG_SZ,present
cis_cce_24408_7,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,scforceoption,REG_DWORD,0
cis_cce_24748_6,true,true,HKEY_LOCAL_MACHINE,Software\Microsoft\Windows\CurrentVersion\Policies\System,DontDisplayLastUserName,REG_DWORD,1
